Term,Description,Classes,References
 AUC (Area under the ROC curve),"A number between 0.0 and 1.0 representing a
binary classification model's
ability to separate positive classes from
negative classes.
The closer the AUC is to 1.0, the better the model's ability to separate
classes from each other. For example, the following illustration shows a classifier model
that separates positive classes (green ovals) from negative classes
(purple rectangles) perfectly. This unrealistically perfect model has
an AUC of 1.0: Conversely, the following illustration shows the results for a classifier
model that generated random results. This model has an AUC of 0.5: Yes, the preceding model has an AUC of 0.5, not 0.0. Most models are somewhere between the two extremes. For instance, the
following model separates positives from negatives somewhat, and therefore
has an AUC somewhere between 0.5 and 1.0: AUC ignores any value you set for
classification threshold. Instead, AUC
considers all possible classification thresholds. See Classification: ROC and
AUC
in Machine Learning Crash Course for more information.",ML Fundamentals,"binary classification, positive classes, negative classes, classification threshold, Classification: ROC and
AUC"
 augmented reality,"A technology that superimposes a computer-generated image on a user's view of
the real world, thus providing a composite view.",Image Models,None
 autoencoder,"A system that learns to extract the most important information from the
input. Autoencoders are a combination of an encoder and
decoder. Autoencoders rely on the following two-step process: Autoencoders are trained end-to-end by having the decoder attempt to
reconstruct the original input from the encoder's intermediate format
as closely as possible. Because the intermediate format is smaller
(lower-dimensional) than the original format, the autoencoder is forced
to learn what information in the input is essential, and the output won't
be perfectly identical to the input. For example: If the input data is a graphic, the non-exact copy would be similar to
the original graphic, but somewhat modified. Perhaps the
non-exact copy removes noise from the original graphic or fills in
some missing pixels. If the input data is text, an autoencoder would generate new text that
mimics (but is not identical to) the original text. See also variational autoencoders.",Language Evaluation,"encoder, decoder, variational autoencoders"
 automation bias ,"When a human decision maker favors recommendations made by an automated
decision-making system over information made without automation, even
when the automated decision-making system makes errors. See Fairness: Types of
bias
in Machine Learning Crash Course for more information.",Fairness,"Fairness: Types of
bias"
 AutoML ,"Any automated process for building machine learning
models. AutoML can automatically do tasks such as the following: Search for the most appropriate model. Tune hyperparameters. Prepare data (including performing
feature engineering). Deploy the resulting model. AutoML is useful for data scientists because it can save them time and
effort in developing machine learning pipelines and improve prediction
accuracy. It is also useful to non-experts, by making complicated
machine learning tasks more accessible to them. See Automated Machine
Learning (AutoML)
in Machine Learning Crash Course for more information.",None,"machine learning, models, hyperparameters, feature engineering, Automated Machine
Learning (AutoML)"
 auto-regressive model ,"A model that infers a prediction based on its own previous
predictions. For example, auto-regressive language models predict the next
token based on the previously predicted tokens.
All Transformer-based
large language models are auto-regressive. In contrast, GAN-based image models are usually not auto-regressive
since they generate an image in a single forward-pass and not iteratively in
steps. However, certain image generation models are auto-regressive because
they generate an image in steps.",Language Evaluation,"model, token, Transformer, large language models, GAN"
 auxiliary loss ,"A loss function—used in conjunction with a
neural network model's main
loss function—that helps accelerate training during the
early iterations when weights are randomly initialized. Auxiliary loss functions push effective gradients
to the earlier layers. This facilitates
convergence during training
by combating the vanishing gradient problem.",None,"loss function, neural network, model's, training, gradients, layers, convergence, training, vanishing gradient problem"
 average precision ,"A metric for summarizing the performance of a ranked sequence of results.
Average precision is calculated by taking the average of the
precision values for each relevant result (each result in
the ranked list where the recall increases relative to the previous result). See also Area under the PR Curve.",None,"precision, Area under the PR Curve"
 axis-aligned condition ,"In a decision tree, a condition
that involves only a single feature. For example, if area
is a feature, then the following is an axis-aligned condition: Contrast with oblique condition.",Decision Forests,"decision tree, condition, feature, oblique condition"
 backpropagation,"The algorithm that implements
gradient descent in
neural networks. Training a neural network involves many iterations
of the following two-pass cycle: Neural networks often contain many neurons across many hidden layers.
Each of those neurons contribute to the overall loss in different ways.
Backpropagation determines whether to increase or decrease the weights
applied to particular neurons. The learning rate is a multiplier that controls the
degree to which each backward pass increases or decreases each weight.
A large learning rate will increase or decrease each weight more than a
small learning rate. In calculus terms, backpropagation implements the
chain rule.
from calculus. That is, backpropagation calculates the
partial derivative of the error with
respect to each parameter. Years ago, ML practitioners had to write code to implement backpropagation.
Modern ML APIs like Keras now implement backpropagation for you. Phew! See Neural networks
in Machine Learning Crash Course for more information.",ML Fundamentals,"gradient descent, neural networks, iterations, learning rate, chain rule, partial derivative, Neural networks"
 bagging ,"A method to train an ensemble where each
constituent model trains on a random subset of training
examples sampled with replacement.
For example, a random forest is a collection of
decision trees trained with bagging. The term bagging is short for bootstrap aggregating. See Random forests
in the Decision Forests course for more information.",Decision Forests,"train, ensemble, model, sampled with replacement, random forest, decision trees, Random forests"
 bag of words,"A representation of the words in a phrase or passage,
irrespective of order. For example, bag of words represents the
following three phrases identically: the dog jumps jumps the dog dog jumps the Each word is mapped to an index in a sparse vector, where
the vector has an index for every word in the vocabulary. For example,
the phrase the dog jumps is mapped into a feature vector with non-zero
values at the three indexes corresponding to the words the, dog, and
jumps. The non-zero value can be any of the following: A 1 to indicate the presence of a word. A count of the number of times a word appears in the bag. For example,
if the phrase were the maroon dog is a dog with maroon fur, then both
maroon and dog would be represented as 2, while the other words would
be represented as 1. Some other value, such as the logarithm of the count of the number of
times a word appears in the bag.",Language Evaluation,sparse vector
 baseline,"A model used as a reference point for comparing how well another
model (typically, a more complex one) is performing. For example, a
logistic regression model might serve as a
good baseline for a deep model. For a particular problem, the baseline helps model developers quantify
the minimal expected performance that a new model must achieve for the new
model to be useful.",None,"model, logistic regression model, deep model"
 batch,"The set of examples used in one training
iteration.
The batch size determines the number of examples in a
batch. See epoch for an explanation of how a batch relates to
an epoch. See Linear regression:
Hyperparameters
in Machine Learning Crash Course for more information.",ML Fundamentals,"examples, iteration, batch size, epoch, Linear regression:
Hyperparameters"
 batch inference,"The process of inferring predictions on multiple
unlabeled examples divided into smaller
subsets (""batches""). Batch inference can take advantage of the parallelization features of
accelerator chips. That is, multiple accelerators
can simultaneously infer predictions on different batches of unlabeled
examples, dramatically increasing the number of inferences per second. See Production ML systems: Static versus dynamic
inference
in Machine Learning Crash Course for more information.",TensorFlow,"inferring, unlabeled examples, accelerator chips, Production ML systems: Static versus dynamic
inference"
 batch normalization,"Normalizing the input or output of the
activation functions in a
hidden layer. Batch normalization can
provide the following benefits: Make neural networks more stable by protecting
against outlier weights. Enable higher learning rates, which can
speed training. Reduce overfitting.",None,"Normalizing, activation functions, hidden layer, neural networks, outlier, learning rates, overfitting"
 batch size,"The number of examples in a batch.
For instance, if the batch size is 100, then the model processes
100 examples per iteration. The following are popular batch size strategies: Stochastic Gradient Descent (SGD), in which the batch size is 1. Full batch, in which the batch size is the number of examples in the entire
training set. For instance, if the training set
contains a million examples, then the batch size would be a million
examples. Full batch is usually an inefficient strategy. mini-batch in which the batch size is usually between
10 and 1000. Mini-batch is usually the most efficient strategy. See the following for more information: Production ML systems: Static versus dynamic
inference
in Machine Learning Crash Course. Deep Learning Tuning
Playbook.",ML Fundamentals,"examples, batch, iteration, Stochastic Gradient Descent (SGD), training set, mini-batch, Production ML systems: Static versus dynamic
inference, Deep Learning Tuning
Playbook"
 Bayesian neural network,"A probabilistic neural network that accounts for
uncertainty in weights and outputs. A standard neural network
regression model typically predicts a scalar value;
for example, a standard model predicts a house price
of 853,000. In contrast, a Bayesian neural network predicts a distribution of
values; for example, a Bayesian model predicts a house price of 853,000 with
a standard deviation of 67,200. A Bayesian neural network relies on

Bayes' Theorem
to calculate uncertainties in weights and predictions. A Bayesian neural
network can be useful when it is important to quantify uncertainty, such as in
models related to pharmaceuticals. Bayesian neural networks can also help
prevent overfitting.",None,"neural network, weights, predicts, Bayes' Theorem, overfitting"
 Bayesian optimization,"A probabilistic regression model
technique for optimizing computationally expensive
objective functions by instead optimizing a surrogate
that quantifies the uncertainty using a Bayesian learning technique. Since
Bayesian optimization is itself very expensive, it is usually used to optimize
expensive-to-evaluate tasks that have a small number of parameters, such as
selecting hyperparameters.",None,"probabilistic regression model, objective functions, hyperparameters"
 Bellman equation,"In reinforcement learning, the following identity satisfied by the optimal
Q-function: \[Q(s, a) = r(s, a) + \gamma \mathbb{E}_{s'|s,a} \max_{a'} Q(s', a')\] Reinforcement learning algorithms apply this
identity to create Q-learning via the following update rule: \[Q(s,a) \gets Q(s,a) + \alpha
  \left[r(s,a)
      + \gamma \displaystyle\max_{\substack{a_1}} Q(s',a')
    - Q(s,a) \right]
\] Beyond reinforcement learning, the Bellman equation has applications to
dynamic programming. See the

Wikipedia entry for Bellman equation.",Reinforcement Learning,"Q-function, Reinforcement learning, Q-learning, Wikipedia entry for Bellman equation"
 BERT (Bidirectional Encoder Representations from Transformers),"A model architecture for text representation. A trained
BERT model can act as part of a larger model for text classification or
other ML tasks. BERT has the following characteristics: Uses the Transformer architecture, and therefore relies
on self-attention. Uses the encoder part of the Transformer. The encoder's job
is to produce good text representations, rather than to perform a specific
task like classification. Is bidirectional. Uses masking for
unsupervised training. BERT's variants include: ALBERT,
which is an acronym for A Light BERT. LaBSE. See Open Sourcing BERT: State-of-the-Art Pre-training for Natural Language
Processing
for an overview of BERT.",Language Evaluation,"representation, Transformer, self-attention, encoder, bidirectional, masking, unsupervised training, ALBERT, LaBSE, Open Sourcing BERT: State-of-the-Art Pre-training for Natural Language
Processing"
 bias (ethics/fairness),"1. Stereotyping, prejudice or favoritism towards some things, people,
or groups over others. These biases can affect collection and
interpretation of data, the design of a system, and how users interact
with a system. Forms of this type of bias include: automation bias confirmation bias experimenter's bias group attribution bias implicit bias in-group bias out-group homogeneity bias 2. Systematic error introduced by a sampling or reporting procedure.
Forms of this type of bias include: coverage bias non-response bias participation bias reporting bias sampling bias selection bias Not to be confused with the bias term in machine learning models
or prediction bias. See Fairness: Types of
bias in
Machine Learning Crash Course for more information.",Fairness,"automation bias, confirmation bias, experimenter's bias, group attribution bias, implicit bias, in-group bias, out-group homogeneity bias, coverage bias, non-response bias, participation bias, reporting bias, sampling bias, selection bias, bias term, prediction bias, Fairness: Types of
bias"
 bias (math) or bias term,"An intercept or offset from an origin. Bias is a parameter in
machine learning models, which is symbolized by either of the
following: b w0 For example, bias is the b in the following formula: In a simple two-dimensional line, bias just means ""y-intercept.""
For example, the bias of the line in the following illustration is 2. Bias exists because not all models start from the origin (0,0). For example,
suppose an amusement park costs 2 Euros to enter and an additional
0.5 Euro for every hour a customer stays. Therefore, a model mapping the
total cost has a bias of 2 because the lowest cost is 2 Euros. Bias is not to be confused with bias in ethics and fairness
or prediction bias. See Linear Regression
in Machine Learning Crash Course for more information.",ML Fundamentals,"bias in ethics and fairness, prediction bias, Linear Regression"
 bidirectional,"A term used to describe a system that evaluates the text that both precedes
and follows a target section of text. In contrast, a
unidirectional system only
evaluates the text that precedes a target section of text. For example, consider a masked language model that
must determine probabilities for the word or words representing the underline in
the following question: A unidirectional language model would have to base its probabilities only
on the context provided by the words ""What"", ""is"", and ""the"". In contrast,
a bidirectional language model could also gain context from ""with"" and ""you"",
which might help the model generate better predictions.",Language Evaluation,"unidirectional, masked language model"
 bidirectional language model,"A language model that determines the probability that a
given token is present at a given location in an excerpt of text based on
the preceding and following text.",Language Evaluation,language model
 bigram,An N-gram in which N=2.,Sequence Models,N-gram
 binary classification,"A type of classification task that
predicts one of two mutually exclusive classes: the positive class the negative class For example, the following two machine learning models each perform
binary classification: A model that determines whether email messages are
spam (the positive class) or not spam (the negative class). A model that evaluates medical symptoms to determine whether a person
has a particular disease (the positive class) or doesn't have that
disease (the negative class). Contrast with multi-class classification. See also logistic regression and
classification threshold. See Classification
in Machine Learning Crash Course for more information.",ML Fundamentals,"classification, positive class, negative class, multi-class classification, logistic regression, classification threshold, Classification"
 binary condition ,"In a decision tree, a condition
that has only two possible outcomes, typically yes or no.
For example, the following is a binary condition: Contrast with non-binary condition. See Types of conditions
in the Decision Forests course for more information.",Decision Forests,"decision tree, condition, non-binary condition, Types of conditions"
 binning,Synonym for bucketing.,None,bucketing
 BLEU (Bilingual Evaluation Understudy),"A score between 0.0 and 1.0, inclusive, indicating the quality of a translation
between two human languages (for example, between English and Russian). A BLEU
score of 1.0 indicates a perfect translation; a BLEU score of 0.0 indicates a
terrible translation.",Language Evaluation,None
 boosting,"A machine learning technique that iteratively combines a set of simple and
not very accurate classifiers (referred to as ""weak"" classifiers) into a
classifier with high accuracy (a ""strong"" classifier) by
upweighting the examples that the model is currently
misclassifying. See Gradient Boosted Decision
Trees?
in the Decision Forests course for more information.",None,"upweighting, Gradient Boosted Decision
Trees?"
 bounding box,"In an image, the (x, y) coordinates of a rectangle around an area of
interest, such as the dog in the image below.",Image Models,None
 broadcasting,"Expanding the shape of an operand in a matrix math operation to
dimensions compatible for that operation. For example,
linear algebra requires that the two operands in a matrix addition operation
must have the same dimensions. Consequently, you can't add a matrix of shape
(m, n) to a vector of length n. Broadcasting enables this operation by
virtually expanding the vector of length n to a matrix of shape (m, n) by
replicating the same values down each column. For example, given the following definitions, linear algebra prohibits
A+B because A and B have different dimensions: However, broadcasting enables the operation A+B by virtually expanding B to: Thus, A+B is now a valid operation: See the following description of
broadcasting in NumPy for more details.",None,"dimensions, broadcasting in NumPy"
 bucketing,"Converting a single feature into multiple binary features
called buckets or bins,
typically based on a value range. The chopped feature is typically a
continuous feature. For example, instead of representing temperature as a single
continuous floating-point feature, you could chop ranges of temperatures
into discrete buckets, such as: <= 10 degrees Celsius would be the ""cold"" bucket. 11 - 24 degrees Celsius would be the ""temperate"" bucket. >= 25 degrees Celsius would be the ""warm"" bucket. The model will treat every value in the same bucket identically. For
example, the values 13 and 22 are both in the temperate bucket, so the
model treats the two values identically. See Numerical data:
Binning
in Machine Learning Crash Course for more information.",ML Fundamentals,"feature, continuous feature, Numerical data:
Binning"
 calibration layer,"A post-prediction adjustment, typically to account for
prediction bias. The adjusted predictions and
probabilities should match the distribution of an observed set of labels.",None,prediction bias
 candidate generation,"The initial set of recommendations chosen by a
recommendation system. For example, consider a
bookstore that offers 100,000 titles. The candidate generation phase creates
a much smaller list of suitable books for a particular user, say 500. But even
500 books is way too many to recommend to a user. Subsequent, more expensive,
phases of a recommendation system (such as scoring and
re-ranking) reduce those 500 to a much smaller,
more useful set of recommendations. See Candidate generation
overview
in the Recommendation Systems course for more information.",Recommendation Systems,"recommendation system, scoring, re-ranking, Candidate generation
overview"
 candidate sampling,"A training-time optimization that calculates a probability for all the
positive labels, using, for example,
softmax, but only for a random
sample of negative labels. For instance, given an example labeled
beagle and dog, candidate sampling computes the predicted probabilities
and corresponding loss terms for: beagle dog a random subset of the remaining negative classes (for example, cat,
lollipop, fence). The idea is that the
negative classes can learn from less frequent
negative reinforcement as long as
positive classes always get proper positive
reinforcement, and this is indeed observed empirically. Candidate sampling is more computationally efficient than training algorithms
that compute predictions for all negative classes, particularly when the
number of negative classes is very large.",None,"positive, softmax, negative classes, positive classes"
 categorical data,"Features having a specific set of possible values. For example,
consider a categorical feature named traffic-light-state, which can only
have one of the following three possible values: red yellow green By representing traffic-light-state as a categorical feature,
a model can learn the
differing impacts of red, green, and yellow on driver behavior. Categorical features are sometimes called
discrete features. Contrast with numerical data. See Working with categorical
data
in Machine Learning Crash Course for more information.",ML Fundamentals,"Features, discrete features, numerical data, Working with categorical
data"
 causal language model,"Synonym for unidirectional language model. See bidirectional language model to
contrast different directional approaches in language modeling.",Language Evaluation,"unidirectional language model, bidirectional language model"
centroid,"The center of a cluster as determined by a k-means or
k-median algorithm. For example, if k is 3,
then the k-means or k-median algorithm finds 3 centroids. See Clustering algorithms
in the Clustering course for more information.",Clustering,"k-means, k-median, Clustering algorithms"
 centroid-based clustering,"A category of clustering algorithms that organizes data
into nonhierarchical clusters. k-means is the most widely
used centroid-based clustering algorithm. Contrast with hierarchical clustering
algorithms. See Clustering algorithms
in the Clustering course for more information.",Clustering,"clustering, k-means, hierarchical clustering, Clustering algorithms"
 chain-of-thought prompting,"A prompt engineering technique that encourages
a large language model (LLM) to explain its
reasoning, step by step. For example, consider the following prompt, paying
particular attention to the second sentence: The LLM's response would likely: Show a sequence of physics formulas, plugging in the values 0, 60, and 7
in appropriate places. Explain why it chose those formulas and what the various variables mean. Chain-of-thought prompting forces the LLM to perform all the calculations,
which might lead to a more correct answer. In addition, chain-of-thought
prompting enables the user to examine the LLM's steps to determine whether
or not the answer makes sense.",Language Evaluation,"prompt engineering, large language model"
 chat,"The contents of a back-and-forth dialogue with an ML system, typically a
large language model.
The previous interaction in a chat
(what you typed and how the large language model responded) becomes the
context for subsequent parts of the chat. A chatbot is an application of a large language model.",Language Evaluation,large language model
 checkpoint,"Data that captures the state of a model's parameters either
during training or after training is completed. For example, during training,
you can:",None,parameters
 class,"A category that a label can belong to.
For example: In a binary classification model that detects
spam, the two classes might be spam and not spam. In a multi-class classification model
that identifies dog breeds, the classes might be poodle, beagle, pug,
and so on. A classification model predicts a class.
In contrast, a regression model predicts a number
rather than a class. See Classification
in Machine Learning Crash Course for more information.",ML Fundamentals,"label, binary classification, multi-class classification, classification model, regression model, Classification"
 classification model,"A model whose prediction is a class.
For example, the following are all classification models: A model that predicts an input sentence's language (French? Spanish?
Italian?). A model that predicts tree species (Maple? Oak? Baobab?). A model that predicts the positive or negative class for a particular
medical condition. In contrast, regression models predict numbers
rather than classes. Two common types of classification models are: binary classification multi-class classification",ML Fundamentals,"model, class, regression models, binary classification, multi-class classification"
 classification threshold,"In a binary classification, a
number between 0 and 1 that converts the raw output of a
logistic regression model
into a prediction of either the positive class
or the negative class.
Note that the classification threshold is a value that a human chooses,
not a value chosen by model training. A logistic regression model outputs a raw value between 0 and 1. Then: If this raw value is greater than the classification threshold, then
the positive class is predicted. If this raw value is less than the classification threshold, then
the negative class is predicted. For example, suppose the classification threshold is 0.8. If the raw value
is 0.9, then the model predicts the positive class. If the raw value is
0.7, then the model predicts the negative class. The choice of classification threshold strongly influences the number of
false positives and
false negatives. See Thresholds and the confusion
matrix
in Machine Learning Crash Course for more information.",ML Fundamentals,"binary classification, logistic regression, positive class, negative class, false positives, false negatives, Thresholds and the confusion
matrix"
 class-imbalanced dataset,"A dataset for a classification problem in which the total number
of labels of each class differs significantly.
For example, consider a binary classification dataset whose two labels
are divided as follows: 1,000,000 negative labels 10 positive labels The ratio of negative to positive labels is 100,000 to 1, so this
is a class-imbalanced dataset. In contrast, the following dataset is not class-imbalanced because the
ratio of negative labels to positive labels is relatively close to 1: 517 negative labels 483 positive labels Multi-class datasets can also be class-imbalanced. For example, the following
multi-class classification dataset is also class-imbalanced because one label
has far more examples than the other two: 1,000,000 labels with class ""green"" 200 labels with class ""purple"" 350 labels with class ""orange"" See also entropy, majority class,
and minority class.",ML Fundamentals,"labels, entropy, majority class, minority class"
 clipping,"A technique for handling outliers by doing
either or both of the following: Reducing feature values that are greater than a maximum
threshold down to that maximum threshold. Increasing feature values that are less than a minimum threshold up to that
minimum threshold. For example, suppose that <0.5% of values for a particular feature fall
outside the range 40–60. In this case, you could do the following: Clip all values over 60 (the maximum threshold) to be exactly 60. Clip all values under 40 (the minimum threshold) to be exactly 40. Outliers can damage models, sometimes causing weights
to overflow during training. Some outliers can also dramatically spoil
metrics like accuracy. Clipping is a common technique to limit
the damage. Gradient clipping forces
gradient values within a designated range during training. See Numerical data:
Normalization
in Machine Learning Crash Course for more information.",ML Fundamentals,"outliers, feature, weights, accuracy, Gradient clipping, gradient, Numerical data:
Normalization"
 Cloud TPU ,"A specialized hardware accelerator designed to speed up machine
learning workloads on Google Cloud.",TensorFlow,None
clustering,"Grouping related examples, particularly during
unsupervised learning. Once all the
examples are grouped, a human can optionally supply meaning to each cluster. Many clustering algorithms exist. For example, the k-means
algorithm clusters examples based on their proximity to a
centroid, as in the following diagram: A human researcher could then review the clusters and, for example,
label cluster 1 as ""dwarf trees"" and cluster 2 as ""full-size trees."" As another example, consider a clustering algorithm based on an
example's distance from a center point, illustrated as follows: See the Clustering course
for more information.",Clustering,"examples, unsupervised learning, k-means, centroid, Clustering course"
 co-adaptation,"When neurons predict patterns in training data by relying
almost exclusively on outputs of specific other neurons instead of relying on
the network's behavior as a whole. When the patterns that cause co-adaptation
are not present in validation data, then co-adaptation causes overfitting.
Dropout regularization reduces co-adaptation
because dropout ensures neurons cannot rely solely on specific other neurons.",None,"neurons, Dropout regularization"
 collaborative filtering,"Making predictions about the interests of one user
based on the interests of many other users. Collaborative filtering
is often used in recommendation systems. See Collaborative
filtering
in the Recommendation Systems course for more information.",Recommendation Systems,"predictions, recommendation systems, Collaborative
filtering"
 concept drift,"A shift in the relationship between features and the label.
Over time, concept drift reduces a model's quality. During training, the model learns the relationship between the features and
their labels in the training set. If the labels in the training set are
good proxies for the real-world, then the model should make good
real world predictions. However, due to concept drift, the model's
predictions tend to degrade over time. For example, consider a binary classification
model that predicts whether or not a certain car model is ""fuel efficient.""
That is, the features could be: car weight engine compression transmission type while the label is either: fuel efficient not fuel efficient However, the concept of ""fuel efficient car"" keeps
changing. A car model labeled fuel efficient in 1994 would almost certainly
be labeled not fuel efficient in 2024. A model suffering from concept drift
tends to make less and less useful predictions over time. Compare and contrast with nonstationarity.",None,"binary classification, nonstationarity"
 condition ,"In a decision tree, any node that
evaluates an expression. For example, the following portion of a
decision tree contains two conditions: A condition is also called a split or a test. Contrast condition with leaf. See also: binary condition non-binary condition. axis-aligned-condition oblique-condition See Types of conditions
in the Decision Forests course for more information.",Decision Forests,"decision tree, node, leaf, binary condition, non-binary condition, axis-aligned-condition, oblique-condition, Types of conditions"
 confabulation,"Synonym for hallucination. Confabulation is probably a more technically accurate term than hallucination.
However, hallucination became popular first.",Language Evaluation,hallucination
 configuration,"The process of assigning the initial property values used to train a model,
including: the model's composing layers the location of the data hyperparameters such as:

learning rate
iterations
optimizer
loss function learning rate iterations optimizer loss function In machine learning projects, configuration can be done through a special
configuration file or using configuration libraries such as the following: HParam Gin Fiddle",None,"layers, hyperparameters, learning rate, iterations, optimizer, loss function, learning rate, iterations, optimizer, loss function, HParam, Gin, Fiddle"
 confirmation bias ,"The tendency to search for, interpret, favor, and recall information in a
way that confirms one's pre-existing beliefs or hypotheses.
Machine learning developers may inadvertently collect or label
data in ways that influence an outcome supporting their existing
beliefs. Confirmation bias is a form of implicit bias. Experimenter's bias is a form of confirmation bias in which
an experimenter continues training models until a pre-existing
hypothesis is confirmed.",Fairness,implicit bias
